Name of Facebook Group,Group URL,Number of followers (nearest 1000)
Family History Ravenden Springs AR,"http://www.facebook.com/groups/748981685244784
",1200.0
Saline County Library Genealogy/Local History,"http://www.facebook.com/groups/124972350899092
",0.0
Saline County Library Genealogy/Local History,"http://www.facebook.com/groups/124972350899092
",0.0
"Washington County, Arkansas Genealogy","http://www.facebook.com/groups/153987164786064
",0.0
White County Families,"http://www.facebook.com/groups/WhiteCountyFamilies
",0.0
Oakland History,"http://www.facebook.com/groups/1469190116650975
",60400.0
Southern California Chapter of the Association of Professional Genealogists,"http://www.facebook.com/groups/76499284626
",0.0
California Genealogical Society: Discussion,"http://www.facebook.com/groups/CGSdiscussion
",0.0
CGS Irish Ancestor Network,"http://www.facebook.com/groups/782072455270113
",0.0
California Genealogy! Just Ask!,"http://www.facebook.com/groups/CaliforniaGenealogyJustAsk
",0.0
California Genealogy & Genealogists,"http://www.facebook.com/groups/CaliforniaGenealogy
",2400.0
California Genealogy Network,"http://www.facebook.com/groups/120538224699188
",1500.0
California History,"http://www.facebook.com/groups/CalHistory
",123000.0
Southern California Chapter of the VGA,"http://www.facebook.com/groups/vga.california.south
",0.0
"History of Crockett, Rodeo and Tormey Areas!","http://www.facebook.com/groups/1424826677810605
",2700.0
Pittsburg California Historical and Genealogy Society,"http://www.facebook.com/groups/256393497797533
",0.0
Point Richmond History Association Facebook Group,"http://www.facebook.com/groups/prhafan
",1100.0
If you grew up in Crescent City you remember............,"http://www.facebook.com/groups/269947069687735
",6100.0
You know you're from Crescent City if ........,"http://www.facebook.com/groups/119582224804932
",1100.0
Del Norte County History,"http://www.facebook.com/groups/delnortecountyhistory
",1800.0
Explorers of the Southwest,"http://www.facebook.com/groups/1676770169300592
",3700.0
You Know You Grew Up In Highland Park If....,"http://www.facebook.com/groups/youknowyougrewupinhighlandparkif
",3200.0
History of Freemasonry in California,"http://www.facebook.com/groups/HistoryOfFreemasonryInCalifornia
",0.0
Humboldt County History,"http://www.facebook.com/groups/136640606405094
",19200.0
JGSLA - Jewish Genealogical Society of Los Angeles,"http://www.facebook.com/groups/jgsla
",0.0
Kern County of Old,"http://www.facebook.com/groups/1496494370640738
",62900.0
Memories from Stratford California,"http://www.facebook.com/groups/417286792511412
",0.0
"Lake County, CA History and Genealogy","http://www.facebook.com/groups/574042589401108
",2100.0
"Glendorians, You Know You're From Glendora When......","http://www.facebook.com/groups/322012634478946
",7200.0
"Memories of Hacienda Heights, CA","http://www.facebook.com/groups/MemoriesofHaciendaHeights
",3900.0
The history of Sunland-Tujunga in Pictures,"http://www.facebook.com/groups/1087785354599783
",1500.0
Pomona Valley Genealogical Society,"http://www.facebook.com/groups/PVGS1
",0.0
"You know you're from Pomona,CA when.....","http://www.facebook.com/groups/50706565527
",6000.0
You know you grew up in Cerritos when....,"http://www.facebook.com/groups/65189152914
",7100.0
Українці Лос-Анджелеса - Ukrainians of Los Angeles,"http://www.facebook.com/groups/279477112260801
",1100.0
Lost Marin,"http://www.facebook.com/groups/lostmarin
",25600.0
Old West History Consortium,"http://www.facebook.com/groups/OldWestHistoryConsortium
",2000.0
"OLD WEST LEGENDS,Outlaws, Gunfighters, Lawmen .","http://www.facebook.com/groups/204190439914193
",40400.0
South Orange County CA Genealogy Discussion Group,"http://www.facebook.com/groups/soccgs
",0.0
Buena Park: History and Memories,"http://www.facebook.com/groups/254473164595983
",4000.0
You Know You Grew Up in Garden Grove When...,"http://www.facebook.com/groups/257133904314526
",6000.0
HUNTINGTON BEACH HOMETOWN MEMORIES & TRADITIONS,"http://www.facebook.com/groups/Huntingtonbeachhometown
",9600.0
"MEMORIES OF GROWING UP IN ROSEVILLE, CA","http://www.facebook.com/groups/142546802497856
",9500.0
PGS-CA Polish Genealogical Society - California,"http://www.facebook.com/groups/PGSCA
",0.0
The Rearchers of the Old Wild West,"http://www.facebook.com/groups/711072169663110
",0.0
Corona Genealogical Society,"http://www.facebook.com/groups/CoronaGS
",0.0
Riverside Pictures. Past and Present...,"http://www.facebook.com/groups/RiversidePicturesPastPresentAndFuture
",15200.0
GAY & LARRY'S RUBIDOUX CALIFORNIA HISTORY & CULTURE,"http://www.facebook.com/groups/156228167896146
",1200.0
Sacramento California Genealogy,"http://www.facebook.com/groups/115760915244436
",0.0
History of the south San Bernardino Mountains,"http://www.facebook.com/groups/historyofthesouthSanBernardinoMountains
",2200.0
RANCHO CUCAMONGA AREA HISTORY,"http://www.facebook.com/groups/521335694645000
",4300.0
You Know You're From Rancho Cucamonga If,"http://www.facebook.com/groups/ranchosfinest
",1700.0
San Bernardino Mountains History,"http://www.facebook.com/groups/1246201489089261
",0.0
"San Bernardino, remember when.","http://www.facebook.com/groups/254128874702468
",21400.0
"Victorville, CA Family History Center","http://www.facebook.com/groups/228464127504433
",0.0
San Diego African American Genealogy Research Group,"http://www.facebook.com/groups/SDAAGRG
",0.0
History San Diego!,"http://www.facebook.com/groups/1020536994817423
",0.0
San Diego Genealogical Society,"http://www.facebook.com/groups/66506287596
",0.0
San Diego Jewish Genealogical Society,"http://www.facebook.com/groups/106071181001
",0.0
Vintage San Diego THE GROUP,"http://www.facebook.com/groups/VintageSanDiego
",21300.0
You know you're from Allied Gardens/Del Cerro if?,"http://www.facebook.com/groups/266262813389736
",3800.0
Austrian Families in San Francisco & the Bay Area,"http://www.facebook.com/groups/Austrianfamilies
",0.0
San Francisco Bay Area Memories,"http://www.facebook.com/groups/1130591143742855
",7300.0
San Francisco Bay Area Memories and History,"http://www.facebook.com/groups/1411879629035576
",24300.0
San Francisco Fire Department (SFFD) History Group,"http://www.facebook.com/groups/SFFDHistoryGroup
",2100.0
San Francisco History Buffs,"http://www.facebook.com/groups/614055395272879
",0.0
San Francisco History to the 1920's,"http://www.facebook.com/groups/SFHistory
",42000.0
San Francisco Maritime and Coastal History Club,"http://www.facebook.com/groups/181611878645487
",6700.0
History of Manteca California,"http://www.facebook.com/groups/josephbrocchini7
",5900.0
San Joaquin Genealogical Society,"http://www.facebook.com/groups/142888722835433
",0.0
San Jose History,"http://www.facebook.com/groups/SanJoseHistory
",74300.0
Santa Cruz History,"http://www.facebook.com/groups/SantaCruzHistoryShare
",20400.0
Researchers Anonymous - Santa Cruz County History,"http://www.facebook.com/groups/106305939499605
",1200.0
Yreka Genealogy Society Of Siskiyou County,"http://www.facebook.com/groups/YrekaGSSC
",0.0
German Russian Southern California Chapter,"http://www.facebook.com/groups/743611935773193
",0.0
Memories of Growing up in Turlock,"http://www.facebook.com/groups/239845729380070
",5800.0
Exeter California History,"http://www.facebook.com/groups/2344575822469152
",2500.0
"You know you're from Exeter, California when....","http://www.facebook.com/groups/268576683157669
",11600.0
Farmersville California History,"http://www.facebook.com/groups/147638501960158
",5100.0
Tulare County History,"http://www.facebook.com/groups/2335006153437946
",6900.0
Tulare Memories,"http://www.facebook.com/groups/105469896155972
",16400.0
"Adams County Genealogy Society, Thornton, Colorado","http://www.facebook.com/groups/AdamsCountyGenealogicalSociety
",0.0
"Alamosa County, Colorado Genealogy","http://www.facebook.com/groups/Alamosa
",0.0
Colorado Chapter of the Association of Professional Genealogists,"http://www.facebook.com/groups/coloradoapg
",0.0
Boulder Genealogical Society,"http://www.facebook.com/groups/bouldergenealogy
",0.0
Broomfield Genealogy Society,"http://www.facebook.com/groups/1488119428099536
",0.0
Colorado Genealogy! Just Ask!,"http://www.facebook.com/groups/ColoradoGenealogyJustAsk
",0.0
Colorado Genealogy Network,"http://www.facebook.com/groups/175267909199964
",0.0
